51,44,-100,-5,44,-58,63,-51,102,-92,53,99,-133,106,111,87,-222,-95,-63,1,98,140,62,67,17,29,88,-40,-17,12,29,39
55,-44,90,-192,-78,-35,-28,-61,4,45,-160,5,21,-9,-85,-3,27,-101,-55,-21,-12,51,81,-91,60,-100,-109,116,-81,43,66,-13
57,-92,-154,-40,61,52,-177,-122,21,-96,84,-213,-50,-87,17,-75,12,-13,-13,-97,-44,64,-19,-194,-47,34,-146,97,80,275,89,54
-5,-131,202,36,131,-118,-106,26,-133,32,-44,114,137,40,-119,-8,46,24,-48,61,130,92,60,-23,65,30,119,4,58,6,34,-9
89,104,-10,82,107,-76,56,207,10,-124,20,33,9,46,43,198,230,59,41,104,-165,-157,-76,-173,22,-108,-32,105,-103,69,38,39
205,-133,-141,225,94,44,-23,56,28,19,-51,9,19,-48,92,-141,157,45,150,-28,-85,-108,42,-159,-110,-27,86,-59,10,-73,-65,72
-41,71,5,-15,-140,-31,-80,-107,7,-49,-205,66,-116,56,-31,-39,-120,-129,-102,64,-82,149,-30,36,13,-81,-2,151,-246,135,33,-172
-48,-81,-21,-10,-87,80,-126,-75,85,7,209,-37,-87,-33,-47,11,-201,-22,-200,89,86,95,92,-30,-3,-15,2,118,-112,-69,80,-140
90,-7,-70,106,-49,36,-117,14,-11,-130,121,128,-63,-97,-38,-125,-39,-87,-139,15,-188,-44,-71,103,135,10,155,154,-18,29,37,25
-45,-68,207,-25,-158,-41,145,7,26,-22,-45,152,-52,-57,26,56,66,-44,99,98,95,-109,77,-95,38,-234,-28,-49,208,-139,-25,-48
-101,3,97,30,125,-48,-50,166,118,-25,-82,-25,-162,-173,109,-186,8,138,-121,156,15,-4,11,108,-20,-33,-135,50,-49,-94,-2,-87
38,-152,-11,-101,116,185,-48,-18,32,-16,-165,-3,-54,35,-72,-84,101,49,-218,87,154,48,-126,-40,20,74,-50,37,-6,10,148,9
-56,-153,21,46,-31,115,26,-31,-18,54,-7,-79,61,105,-110,-65,20,-133,78,135,25,141,145,42,232,-77,-22,137,-77,29,58,-54
-40,-60,-82,-117,70,4,15,-156,42,47,-107,51,-20,-190,43,37,-69,-42,-97,165,120,188,-148,19,-9,94,-46,56,14,-25,-108,-194
18,-10,83,91,172,188,-97,78,-27,-128,-118,230,0,-26,-68,52,-45,-198,5,-25,-154,-87,38,-64,68,-22,-77,128,61,-44,21,-152
130,54,-44,14,-171,-53,48,-17,43,-49,90,-41,-1,-80,-4,-49,97,-46,-13,88,-11,45,-233,18,-46,62,-77,-62,-76,-186,-27,69
-56,-66,-35,-185,158,84,-39,-55,168,-63,-99,113,48,9,-24,-2,-132,-37,-30,-44,122,-52,-38,38,43,-229,-206,-25,-12,-94,-81,-223
66,-15,134,12,-1,41,-20,11,-54,-5,53,-6,-42,19,-49,84,-47,-103,-124,129,200,-3,-47,-62,-3,22,-100,33,-64,-65,104,-63
56,18,41,28,-21,-49,-46,-18,150,48,-73,-4,97,-245,3,44,15,-191,8,63,85,86,122,47,-39,-146,-80,20,-3,178,191,-43
-69,81,3,-29,-49,-180,62,-156,-35,163,-17,-87,46,77,-94,-58,-36,-29,-62,100,-117,184,61,-134,-152,-10,-51,-160,36,22,67,-31
178,-46,-2,23,36,-22,76,106,-46,-93,83,-51,0,61,25,-67,-9,55,69,-15,-19,79,101,-131,-69,-11,80,-96,28,-31,110,13
-22,154,21,199,108,191,29,7,-68,-32,87,14,-79,-100,56,60,-4,179,-10,9,75,-104,-180,31,-6,-28,73,-70,-61,32,-17,86
230,-32,57,32,-98,-204,28,75,-162,-48,20,92,6,50,106,63,121,20,-118,-76,-172,-141,-177,-23,37,-122,-146,-143,-5,-12,-86,79
84,-170,157,98,-149,-71,162,216,226,150,98,-80,-30,106,-28,-58,-53,138,-115,-120,1,-165,-4,40,128,-9,69,-54,56,142,-117,49
169,1,95,17,-30,3,-108,53,-121,54,-37,-6,111,-31,88,49,19,8,1,-271,21,19,-49,-40,-17,-85,-119,-255,-2,-19,24,81
-64,-14,4,-68,-142,-63,128,124,0,103,7,-93,43,-70,63,-1,174,-146,143,-68,-136,-99,-26,-73,-13,37,-18,-103,119,-127,37,-59
105,17,51,-128,-7,211,-82,-13,47,71,-96,-60,-69,-76,-99,137,0,-143,-39,58,67,166,20,40,47,37,-261,49,71,125,-37,-115
39,65,-155,87,-225,-173,-19,67,-43,-210,-27,91,102,-30,-59,78,43,130,49,-20,-115,7,145,-49,51,-44,101,-21,-102,8,61,181
-136,-12,-94,-145,64,43,-35,-219,-97,-66,28,-30,30,172,-72,42,-9,-55,9,-91,55,-82,73,53,86,33,-42,98,70,40,35,-47
108,86,-58,61,67,-70,158,67,-48,76,-20,-156,211,-43,73,-174,-20,75,-95,-143,-57,34,79,-165,-106,-218,174,-159,38,-148,63,137
120,40,-5,107,-47,-172,131,76,-44,-76,302,-98,-32,-119,-109,98,90,46,-1,-16,-123,-223,98,-100,-101,-53,-24,-191,-5,-124,-85,-33
-66,35,30,-124,-64,7,-167,32,-108,75,50,-65,-85,11,-32,79,-149,53,-105,145,-36,-108,26,49,17,130,-165,175,-66,-133,-24,3
