121,-71,6,110,-92,-40,-52,-11,128,2,43,44,-12,17,-86,-7,32,-38,-13,57,-109,-81,59,70,40,59,-123,-12,44,66,13,34,-8,-1,51,24,61,-12,62,9,32,-142,-104,-54,-92,-7,-36,-27,-9,12,65,-51,-19,-36,39,-29,105,-7,-72,-51,63,5,-60,-39
101,178,-35,-54,57,33,-26,-105,-83,-86,-29,11,42,-125,17,-44,8,-30,94,-40,47,42,66,121,111,-36,-10,10,-49,74,38,-61,-82,3,6,-50,1,-126,129,1,-11,51,-17,-81,-62,156,93,55,30,45,115,-1,-27,-107,55,48,-53,8,15,-41,-36,79,65,76
61,-53,-35,57,24,-72,69,-122,-57,-18,-8,22,-25,21,16,-57,28,-87,-37,-14,92,-66,2,0,50,-93,41,37,-5,-53,-24,-4,-65,50,-14,-42,44,-58,171,51,55,-7,-17,-13,14,-17,28,92,69,30,84,-58,171,1,-24,38,74,33,119,119,120,139,-150,-12
15,14,10,-35,59,68,125,17,-67,8,-22,-37,-28,97,54,91,11,1,-122,4,29,10,5,148,-28,-75,-6,-52,62,41,16,78,109,82,-12,16,69,72,-12,-4,-39,-26,46,7,49,8,17,2,-78,8,58,-29,3,19,-48,-88,-81,-15,40,25,38,-1,-82,37
104,-15,46,-19,3,36,-18,-56,-69,-78,66,14,-30,-49,-49,-37,-51,-20,16,34,24,130,40,49,5,-81,80,72,47,47,6,-91,11,-10,-34,103,56,17,-65,118,4,33,-76,-71,-29,-56,-87,13,66,66,65,21,-3,-17,143,7,-74,52,-74,-16,17,-61,9,-39
-154,-11,34,-9,-103,44,-57,84,-106,-94,-79,2,62,19,-107,-36,-23,63,47,93,-49,-65,-55,50,-57,3,104,22,-87,-29,23,104,-18,53,0,-31,2,-71,135,-16,-14,22,10,-12,-73,-11,38,-58,17,113,-94,-41,60,-2,12,-181,-20,156,0,-17,22,95,-48,-101
22,63,-29,14,-70,1,-144,22,90,-76,-52,-9,-65,110,57,-57,88,-47,-8,16,19,-31,-132,38,59,-60,64,13,103,8,-21,11,2,79,98,-65,93,10,-48,-78,-58,-49,-86,6,177,29,37,-55,1,37,61,-43,-82,-41,-18,-154,87,10,85,-3,-25,-6,45,44
-33,23,54,76,123,11,-49,-89,66,-57,74,-22,-63,-1,-29,-47,141,-63,-51,13,-53,-37,56,-26,18,15,-20,-137,-23,84,-63,-59,-11,-89,125,48,-1,115,62,-27,13,44,-121,108,-41,-8,-74,-27,64,59,20,100,33,-121,-65,5,23,113,35,97,69,38,-12,52
20,-81,3,-43,31,-8,-1,-9,29,80,-110,-38,22,45,-105,73,-23,-53,-115,94,-26,-165,86,-8,28,-63,41,-55,-25,154,-40,-29,61,-46,-15,79,-18,54,71,89,-66,-138,28,-29,196,2,-133,71,-18,72,55,-192,101,-22,42,16,-95,-21,126,62,142,-20,-45,-124
-9,-65,56,-21,132,50,63,-17,52,-34,36,-38,-104,-78,-7,147,16,-94,106,9,-43,114,-10,75,35,-28,-9,-10,179,-30,-36,26,27,-62,-36,94,-15,-95,16,18,-56,146,-17,-132,56,-75,6,135,-43,78,-13,-46,118,-17,-121,45,-30,27,-17,-99,54,-27,-55,25
-75,49,22,82,48,-182,-29,-3,36,-22,49,-20,0,83,-75,-134,-42,-44,67,51,30,-53,91,71,-24,39,16,-18,-118,-5,49,-15,-49,-66,72,-119,-152,16,57,25,103,-24,1,-47,45,20,95,-21,8,-4,-34,45,-2,90,57,82,-37,-35,-31,6,38,53,29,36
34,14,42,-10,47,23,123,115,-54,57,49,-91,3,-3,10,46,130,105,-99,64,73,-100,-20,73,26,-11,-55,-92,-55,-111,47,-84,19,21,-8,46,29,39,1,12,11,146,-54,-38,-20,21,27,-6,99,-6,25,20,-114,-67,160,-24,-34,-34,69,-82,-154,-47,70,-17
-45,-17,-5,27,68,72,-101,-69,38,23,-133,90,-25,7,-45,78,95,-80,52,-44,51,-26,4,52,-8,-27,0,-53,8,24,9,65,-32,-16,-44,61,29,15,-96,92,77,-22,-18,-32,-10,144,-23,69,71,24,-78,-53,72,12,-40,-65,14,1,29,69,52,89,-30,-38
30,15,0,15,-48,-30,5,52,95,37,48,-88,25,164,-28,-16,-48,-80,-154,70,39,-49,8,44,109,-32,96,24,63,-65,85,-27,-46,56,-1,180,-8,27,86,13,49,12,-121,-63,-39,-28,-15,31,3,9,96,91,-10,-30,1,-45,-55,59,139,154,69,158,25,-42
-5,-4,-109,27,-4,132,70,6,25,-70,-50,43,-77,117,-28,68,104,-16,-67,154,-54,69,119,30,48,4,64,54,5,-72,-28,-9,-84,48,-41,132,-43,-30,-157,91,12,-49,-100,-124,98,-63,-29,-11,-72,54,10,-115,5,71,-111,-94,-12,-7,-5,150,-51,-82,192,34
-85,40,37,-68,16,-79,79,15,110,-169,-1,-5,21,-57,69,-35,-1,-52,-58,-75,-18,55,122,104,14,-6,51,-40,-31,-3,-51,-12,50,-56,-170,44,-197,95,-28,-13,23,-14,-74,-43,58,5,40,-166,156,3,-33,-65,-58,-17,-64,-43,-52,64,-28,11,-98,107,-200,91
15,5,-29,-23,121,-22,88,-84,-63,-33,-34,20,28,61,94,1,-45,175,-29,110,-39,62,55,-4,-99,28,0,-3,-139,-70,-67,36,-75,31,54,36,-99,83,24,-77,-65,-82,-33,30,-57,88,59,-36,-106,-59,-101,-68,73,-50,-70,-31,56,75,-37,-140,-18,-13,61,16
17,-68,54,60,75,-51,32,-49,74,85,101,-58,-26,-4,-2,-115,-134,-38,-61,-9,-16,-116,-3,-33,91,-24,15,49,-74,7,-43,-45,52,63,64,-54,-9,-12,-94,31,60,-106,-1,-16,-63,4,-15,49,-41,51,-3,-20,-80,-16,65,-21,-72,-58,33,2,-1,-38,85,102
-130,38,16,-66,103,46,-2,65,91,96,111,-69,23,121,32,-67,53,101,8,1,-8,26,-38,-43,-74,-141,50,49,-10,140,-44,-48,-22,-40,121,-41,65,47,49,-83,20,-59,-61,-101,68,-13,-35,101,64,-14,-14,15,23,-20,-131,-20,44,84,107,118,-43,11,-96,15
14,128,4,2,-24,-44,121,110,-8,84,135,62,-83,45,2,62,18,-44,-94,-32,-6,128,6,-47,79,56,87,-100,84,-113,64,75,165,104,-30,-49,27,129,84,38,33,-5,-12,12,-53,131,-17,33,-106,48,-83,-16,82,-145,-29,-24,29,23,25,49,-13,127,-29,-40
124,81,9,-10,-61,39,53,-17,47,13,-99,-22,-21,70,50,-6,28,-98,18,-44,-2,57,85,-111,44,-42,-131,51,-97,-43,104,-86,-53,26,18,-30,-35,109,36,-66,68,9,-89,-26,-17,-18,97,-44,-42,9,-34,-47,-42,64,-67,17,118,-84,125,-46,41,112,-21,-33
-10,0,-10,-16,-74,42,-27,101,80,-15,-17,34,62,31,145,-136,-24,24,45,-10,131,15,96,-10,-86,59,-62,-65,19,-73,11,-12,-39,-67,33,94,-16,-11,-13,51,-68,26,44,-93,-10,-102,-28,52,15,5,68,-30,-6,-30,147,-60,49,62,11,100,-125,-38,-100,-82
-74,10,-14,-22,-116,-63,4,100,-15,54,168,92,22,-7,61,56,10,-8,57,41,-28,3,162,174,19,-131,-18,3,-52,21,60,17,-51,-66,-137,73,-86,110,3,87,38,-42,86,-97,45,155,67,19,-3,-23,36,-19,-58,84,-80,-18,-1,41,-14,-48,20,-55,29,30
-97,11,22,-2,-155,-75,-125,70,2,-123,67,103,96,-107,80,49,-86,24,75,-180,-116,-12,37,-58,95,64,-4,-12,25,48,36,-18,117,9,65,50,-44,57,-14,97,-39,56,7,91,36,-32,145,-22,62,-88,12,-12,-3,-21,92,-7,126,44,-81,-4,70,-131,57,64
56,119,73,40,44,29,128,28,151,12,-102,0,34,9,-111,69,17,8,81,-98,113,-22,1,-6,-83,28,73,56,-107,-85,-84,73,85,-50,-61,12,-42,18,-36,0,-58,-58,-54,141,-34,45,3,-26,-12,37,-55,-73,11,-41,-49,114,-7,29,-18,26,119,90,54,-69
-1,30,-78,119,76,-10,-17,49,138,-69,32,-12,-83,-19,6,82,11,15,117,-9,162,-165,-23,25,92,79,2,-44,72,42,-168,73,-54,-38,-66,112,13,83,21,-119,62,-17,-60,14,79,65,38,29,1,69,-3,118,14,-53,-47,-24,-66,8,14,51,-100,158,26,-20
6,48,59,10,-8,-133,113,-21,55,34,16,-135,94,36,-32,76,4,-7,-52,51,25,56,13,46,26,-2,17,2,127,26,24,119,28,119,-68,-5,-32,36,35,1,122,-61,18,62,72,24,-25,-94,-20,114,110,1,-23,-20,24,50,-42,62,17,0,139,-53,-38,-106
-71,-91,35,42,1,-53,87,-122,-18,-66,-69,6,47,-83,68,39,-40,166,-8,108,-42,39,59,-73,69,76,-11,-68,-24,131,44,31,-61,50,55,-27,1,105,44,74,-6,99,-82,16,37,24,110,42,1,-72,57,-24,-60,-83,-21,12,-88,12,-80,-50,-13,-6,-114,116
-44,25,-26,48,26,-137,0,16,-2,75,-63,28,-22,54,-98,182,46,-66,-68,24,108,51,-2,108,58,141,40,81,-92,45,-150,-41,-78,-32,76,28,-31,45,24,147,-22,-38,32,-62,87,26,-58,-44,-62,15,-55,3,4,-45,7,100,113,90,-13,23,-30,-71,-46,-14
41,61,107,-81,38,-79,31,144,-67,-59,-34,-70,90,26,-55,-41,75,-55,-12,21,117,-2,-25,42,-22,-97,4,-18,-96,41,-17,-171,-71,-94,-49,58,17,35,31,-59,23,-2,-48,25,54,78,109,71,-82,58,20,-18,88,60,79,-160,-60,-37,-22,-52,24,42,-14,18
-103,-46,104,-26,84,-73,23,70,8,22,14,-66,-46,73,-3,-15,-86,69,-49,15,98,31,51,18,2,16,65,-90,18,-28,-91,0,-3,9,-26,-67,15,121,-74,19,71,47,30,-62,15,-20,124,41,7,68,-101,-90,25,151,-14,-47,114,126,-62,83,161,40,25,-48
5,-48,90,42,-95,-55,-14,77,2,-150,36,-104,-105,7,-57,-61,-28,-57,24,32,-14,-130,97,-44,26,-20,-23,1,-118,32,12,5,32,12,11,-90,84,75,-16,14,-80,10,-49,-68,-12,51,-48,46,-113,-66,29,-91,110,-96,19,141,26,-66,-56,-23,-46,68,-26,-10
12,1,-152,-120,115,-65,102,7,-59,55,-34,-13,71,71,66,-134,-10,-26,51,-13,18,-15,-15,26,148,16,-34,43,-39,2,-16,33,-9,-41,69,-43,-40,-63,39,77,-16,-2,-12,-18,83,54,-24,95,-72,-85,-7,-24,3,-11,-10,-92,84,1,-55,4,69,104,43,47
22,-155,-108,18,-57,-87,-91,-17,-23,30,89,-29,-66,108,95,8,-56,-31,-21,18,62,-65,56,48,33,89,-12,89,103,74,48,61,-51,-108,24,-82,-32,-78,67,163,13,-66,63,41,14,49,27,20,1,125,-19,88,-63,68,14,16,-95,-9,59,-78,-34,50,-51,52
-115,86,55,-59,-3,-62,28,101,-40,49,9,-99,-25,48,-105,75,-37,77,32,-36,66,116,-1,19,-23,27,-56,-37,195,39,113,6,97,98,-20,-94,2,4,20,15,-32,-40,-105,62,45,96,-48,77,2,57,65,-94,-38,-60,-66,-146,-7,85,21,15,-11,-24,186,132
-60,10,87,186,63,-72,3,125,68,-39,29,-34,-75,18,-117,17,97,9,-24,-34,-54,-63,50,51,-82,-146,-26,46,105,18,-76,20,110,49,-33,8,-90,68,83,-8,-45,89,-76,9,-27,42,97,104,-27,92,108,-19,-10,8,5,-16,-21,10,146,118,86,-26,-101,-22
113,19,21,86,34,-24,72,-101,-3,37,87,51,-45,51,-9,-19,-38,-7,-28,-84,73,-30,14,22,46,-40,-68,93,-18,45,-55,-35,82,102,-105,9,50,76,36,-95,21,-83,24,22,49,-58,75,49,49,31,179,-11,0,98,13,17,-36,121,-32,-23,-51,105,-27,-56
-16,-36,60,-35,88,62,40,0,145,-14,-92,41,-139,82,95,-30,22,-35,-44,90,-144,-65,-62,116,113,-43,9,-1,45,46,-33,-77,-57,140,-7,41,-65,140,-28,-103,-26,-62,15,64,15,74,-56,52,-44,130,26,-37,101,-7,-124,107,-40,-131,41,29,-39,-46,-12,-4
-67,61,-14,26,-40,32,-44,83,19,-11,-52,-14,-59,5,-32,35,-71,6,-9,-58,136,36,-99,-73,38,-113,56,97,84,18,-51,-46,-41,-34,-16,77,-48,68,9,197,84,-48,-21,31,-23,-40,14,-34,-54,-12,95,-100,71,-32,16,-189,12,49,91,-133,10,-23,-53,-17
-121,-9,14,38,11,-19,99,83,27,54,74,49,44,-2,-68,-26,-200,25,54,2,-67,53,92,11,190,-88,86,57,-51,-27,-60,-45,-82,-84,38,13,46,-18,125,69,1,69,-3,7,-182,39,-44,-19,-10,-10,17,5,-95,7,58,57,-75,-66,20,-4,8,-65,94,48
33,29,9,127,21,-9,-70,-35,25,6,11,-22,-93,60,-26,119,20,-23,-29,24,5,24,39,-51,59,-100,-13,59,-100,-33,-33,-60,67,-104,-171,-45,84,0,-66,-72,-26,-21,-241,-79,127,88,-20,33,73,-35,-5,-39,-64,8,-35,-93,-19,-27,-52,51,42,52,21,27
-67,43,6,22,-3,-112,-37,21,-25,93,25,44,-21,26,33,42,20,-54,-89,-94,-33,-74,-62,-60,157,-50,-16,9,126,-27,-76,-91,15,-55,12,66,-75,-79,17,-77,56,-48,-70,-46,31,-5,-17,-2,9,113,-35,-78,66,-63,-58,-178,-38,43,-61,46,68,-19,-86,15
